trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-87.41521485720635,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,9,-26.954505392290123,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-309.19627464247066,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-96.11196718380018,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-123.83420868883104,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-77.24673924271318,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-66.57265027618062,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-91.91448057609576,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-103.65611401834609,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-51.61307186538693,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,3,-34.61999232219613,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,1,-59.46289900384318,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,2,-45.871235141841765,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-105.61835862059004,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-0.6710682419949188,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,16,-30.06152860360188,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,14,-20.47558513353034,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,7,-10.855303989932118,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,20,-1.7020032583212603,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,-25.586631291769518,"{0: 11, 1: 1, 2: 0, 3: 2, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,10,11.112305032971664,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,2,21.267498630280635,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,6,-33.63824294703129,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,10,-18.290816336541052,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,6,6.2066791295664,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,-14.659349420844324,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,0,9.69903017806753,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,9,9.68903385301475,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,23.329967709734042,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,11.265415492677898,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
