trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",20,6,-106.29301013197498,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
2,False,"{'a': 0.001, 'e': 0.999000499833375}",30,0,-134.61216023861726,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,6,-71.36331028027399,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.001, 'e': 0.997004495503373}",25,0,-66.41273615770086,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.001, 'e': 0.9960079893439915}",25,0,-109.37881659469255,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.001, 'e': 0.9950124791926823}",20,0,-53.67217292902479,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.001, 'e': 0.9940179640539353}",20,10,-83.24609429967461,"{0: 5, 1: 2, 2: 0, 3: 2, 4: 1}",1
8,False,"{'a': 0.001, 'e': 0.9930244429332351}",25,0,-164.6280454918589,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.001, 'e': 0.9920319148370607}",25,0,-121.51044165819046,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.001, 'e': 0.9910403787728836}",20,0,-216.40550967320064,"{0: 7, 1: 1, 2: 8, 3: 1, 4: 3}",0
11,False,"{'a': 0.001, 'e': 0.9900498337491681}",20,0,-142.54972831555344,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.001, 'e': 0.9890602787753687}",30,7,-189.7797872942305,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 3}",1
13,False,"{'a': 0.001, 'e': 0.9880717128619305}",20,0,-199.07131785456633,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
14,False,"{'a': 0.001, 'e': 0.9870841350202876}",25,0,-109.01314589023889,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
15,False,"{'a': 0.001, 'e': 0.9860975442628619}",20,0,-77.15099048779834,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
16,False,"{'a': 0.001, 'e': 0.9851119396030626}",20,0,-66.8011945862797,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.001, 'e': 0.9841273200552851}",20,0,-60.1980623079375,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.001, 'e': 0.9831436846349096}",25,0,-172.7926336577309,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.001, 'e': 0.9821610323583008}",20,0,-94.47482335661992,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.001, 'e': 0.981179362242806}",20,0,-106.19946504611973,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.001, 'e': 0.9801986733067553}",25,0,-143.74457034789447,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.001, 'e': 0.9792189645694596}",25,0,-123.5715452685977,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
