trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,3,-155.1267022345254,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,10,-66.78120466004928,"{0: 7, 1: 3, 2: 4, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.34799148707032,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.53268496111653,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-207.86572528650294,"{0: 16, 1: 5, 2: 4, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-2.923882008442158,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.699745397092514,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.92607575475557,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.67334855679454,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.39386466459337,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.91304921331893,"{0: 15, 1: 6, 2: 1, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.08767185534509,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.00938059576367,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.81713098884347,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.08107244343142,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.14111490133513,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.64124114132775,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.311402933091,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.4562546791265,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.20818509136525,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.97233802089451,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-197.3193209562584,"{0: 17, 1: 4, 2: 3, 3: 4, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.9330202940355,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,17,-12.94723755232026,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-197.8204915143898,"{0: 20, 1: 3, 2: 2, 3: 1, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.92898759491206,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.83813590201892,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
